#bestFitness averageFitness averageUsedGeneLength invalids varFitness aveLength aveDerivationTreeDepth
3.0 5.26 11.73 0 3.4324000000000012 11.0 6.38
3.0 4.161616161616162 7.212121212121212 1 0.6809509233751662 7.0 4.686868686868687
3.0 3.757575757575758 5.97979797979798 1 0.24426078971533471 6.0 4.222222222222222
#bestFitness averageFitness averageUsedGeneLength invalids varFitness aveLength aveDerivationTreeDepth
73.0 86.84 22.46 0 8.894399999999997 22.0 7.26
73.0 84.86 31.54 0 14.2004 33.0 9.12
64.0 80.58 35.82 0 29.403600000000015 33.0 10.38
42.0 77.42 33.6 0 86.16360000000005 34.0 10.68
42.0 73.94 33.12 0 117.85640000000004 35.0 11.06
42.0 70.76 34.38 0 148.9024 44.0 11.16
42.0 69.14 37.62 0 208.68039999999996 53.0 11.64
42.0 65.76 34.44 0 287.4224 43.0 10.66
39.0 62.84 31.46 0 321.1743999999998 35.0 10.56
39.0 61.72 28.82 0 366.80159999999995 27.0 10.18
39.0 57.52 28.24 0 388.1296 17.0 10.06
#bestFitness averageFitness averageUsedGeneLength invalids varFitness aveLength aveDerivationTreeDepth
16.0 16.0 214.64 0 0.0 214.0 6.24
15.0 15.98 55.76 0 0.01959999999999997 149.0 5.64
15.0 15.92 48.48 0 0.07360000000000015 195.0 5.7
15.0 15.877551020408163 26.163265306122447 1 0.14827155351936727 331.0 5.428571428571429
15.0 15.74 35.68 0 0.1924000000000002 558.0 6.14
15.0 15.56 57.6 0 0.2464000000000003 753.0 7.62
15.0 15.16 62.24 0 0.1344 961.0 7.98
15.0 15.18 63.84 0 0.1476 1030.0 8.14
15.0 15.16 64.96 0 0.1344 987.0 8.2
15.0 15.24 62.88 0 0.18239999999999998 968.0 8.12
15.0 15.1 69.36 0 0.09 998.0 8.36
#bestFitness averageFitness averageUsedGeneLength invalids varFitness aveLength aveDerivationTreeDepth
8.471743846829007 3064950.815451337 278.48 0 1.687739401285809E14 278.0 5.48
5.70024553439344 34.95460849275128 13.914893617021276 3 497.14829762573163 18.0 3.8085106382978724
5.064785278921452 29.884646642516465 10.434782608695652 4 478.5455260104325 11.0 3.8260869565217392
5.064785278921452 22.23260268258186 8.893617021276595 3 291.9817986582312 9.0 3.5319148936170213
5.064785278921452 20.185718033639617 8.46808510638298 3 381.39947361572945 9.0 3.4680851063829787
5.064785278921452 20.096542827130506 9.591836734693878 1 647.2389537542106 10.0 3.7142857142857144
5.064785278921452 16.820021658895907 10.097560975609756 9 368.98480507176424 10.0 3.8780487804878048
5.064785278921452 14.167385354629888 10.285714285714286 8 373.065825465907 10.0 3.9761904761904763
5.064785278921452 17.53971957344219 10.390243902439025 9 489.7660169472561 10.0 4.024390243902439
5.064785278921452 11.673472374540296 9.377777777777778 5 156.8551326563566 11.0 3.8222222222222224
5.064785278921452 13.841359081855222 10.0 0 381.3064002723276 11.0 3.96
#bestFitness averageFitness averageUsedGeneLength invalids varFitness aveLength aveDerivationTreeDepth
8.1634 4.384617402103209E306 58.18 0 Infinity 58.0 7.38
8.1634 19.143366496210643 12.342857142857143 15 75.16819436689369 22.0 5.2
8.1634 18.278354545454544 11.977272727272727 6 56.23744608520661 13.0 5.2727272727272725
8.1634 13.96182580435845 14.22 0 14.55082195190907 20.0 5.58
8.1634 16.133659915909384 23.166666666666668 8 45.95542750673843 33.0 6.142857142857143
8.1634 16.805755079783307 26.425531914893618 3 69.61577218984496 41.0 7.1063829787234045
8.1634 17.70706947151988 29.2 5 269.35524909828797 42.0 7.488888888888889
8.1634 17.008926060581086 33.43181818181818 6 191.4306088159883 37.0 7.704545454545454
6.049999999999995 22.878381008691928 32.4375 2 1850.4264623863144 38.0 7.895833333333333
6.049999999999995 14.622335621957431 29.727272727272727 6 95.22802999759327 34.0 7.090909090909091
6.049999999999995 13.687466458720955 26.0 8 86.55167409984072 34.0 6.928571428571429
#bestFitness averageFitness averageUsedGeneLength invalids varFitness aveLength aveDerivationTreeDepth
3.0 4.68 9.2 0 1.8176 9.0 6.5
3.0 3.86 5.4 0 0.16039999999999968 6.0 5.18
2.0 3.56 5.3 0 0.32639999999999986 5.0 5.02
2.0 3.06 6.68 0 0.25639999999999963 7.0 5.44
2.0 2.84 6.6 0 0.2944000000000005 8.0 5.36
2.0 2.56 7.5 0 0.2864 9.0 5.6
2.0 2.48 7.5 0 0.3296000000000002 10.0 5.6
2.0 2.42 7.28 0 0.3636 10.0 5.5
1.0 2.3 7.36 0 0.37 10.0 5.5
1.0 2.3 7.38 0 0.53 12.0 5.54
1.0 1.96 8.8 0 0.3583999999999999 13.0 6.04
